taxon	min	max
Biarmosuchus_tener	64	67
Hipposaurus_boonstrai	58.9	64.1
Archaeosyodon_praeventor	64	67
Titanophoneus_potens	51.3	67
Gorgonops_torvus	53.17	64.1
Lycosuchus_vanderrieti	58.9	64.1
Glanosuchus_macrops	58.9	67.8
Biseridens_qilianicus	67.8	71.3
Anomocephalus_africanus	58.9	71.3
Tiarajudens_eccentricus	58.9	71.3
Otsheria_netzvetajevi	64	67
Ulemica_sp	51.3	71.3
Suminia_getmanovi	51.3	64
Patranomodon_nyaphulii	58.9	64.1
Galeops_whaitsi	58.9	64.1
Galepus_jouberti	50.9	50.902
Galechirus_scholtzi	58.9	64.1
Eodicynodon_oelofseni	58.9	71.3
Eodicynodon_oosthuizeni	58.9	67.8
Colobodectes_cluveri	51.17	58.9
Lanthanostegus_mohoii	58.9	64.1
Eosimops_newtoni	53.17	64.1
Diictodon_feliceps	51.17	71.3
Robertia_broomiana	53.17	64.1
Prosictodon_dubei	58.9	71.3
Endothiodon_bathystoma	53.17	64.1
Endothiodon_tolani	58.9	64.1
Niassodon_mfumukasi	53.17	58.9
Brachyprosopus_broomi	58.9	67.8
Pristerodon_mackayi	53.17	64.1
Emydops_sp	51.17	71.3
Digalodon_rubidgei	51.17	58.9
Dicynodontoides_sp	46.2	97.9
Kombuisia_frerensis	41	46.2
Myosaurus_gracilis	46.2	51.17
Cistecephalus_microrhinus	53.2	64.1
Cistecephaloides_boonstrai	53.2	58.9
Kawingasaurus_fossilis	51.2	58.9
Daqingshanodon_limbus	51.2	58.9
Keyseria_benjamini	51.2	58.9
Rhachiocephalus_magnus	53.2	58.9
Kitchinganomodon_crassus	51.2	58.9
Oudenodon_bainii	51.2	64
Tropidostoma_dubium	53.2	64.1
Australobarbarus_sp	51.3	64
Syops_vanhoepeni	53.2	58.9
Odontocyclops_whaitsi	53.2	58.9
Idelesaurus_tataricus	53	64
Aulacephalodon_bainii	51.2	58.9
Pelanomodon_moschops	51.2	58.9
Geikia_locusticeps	51.2	58.9
Geikia_elginensis	51.2	53.2
Elph_borealis	51.3	64
Interpresosaurus_blomi	51.3	58
Katumbia_parringtoni	53.2	58.9
Delectosaurus_arefjevi	51.3	58
Dicynodon_lacerticeps	51.3	64
Dicynodon_huenei	51.3	64
Daptocephalus_leoniceps	51.2	58.9
Dinanomodon_gilli	46.2	58.9
Peramodon_amalitzkii	51.3	64
Vivaxosaurus_trautscholdi	51.3	64
Jimusaria_sinkiangensis	51.2	53.2
Sintocephalus_alticeps	53.2	58.9
Basilodon_woodwardi	51.2	58.9
Turfanodon_bogdaensis	51.2	53.2
Gordonia_traquairi	51.3	64
Euptychognathus_bathyrhynchus	53.2	58.9
Lystrosaurus_hedini	41	53.2
Lystrosaurus_maccaigi	46.2	51.2
Lystrosaurus_curvatus	46.2	51.2
Lystrosaurus_declivis	46.2	51.2
Lystrosaurus_murrayi	46.2	51.2
Shansiodon_sp	41	46.2
Tetragonias_njalilus	41	46.2
Vinceria_andina	41	46.2
Rhinodicynodon_gracile	41	46.2
Dinodontosaurus_sp	36	41
Angonisaurus_cruickshanki	41	46.2
Kannemeyeria_simocephalus	41	46.2
Kannemeyeria_lophorhinus	41	46.2
Dolichuranus_primaevus	41	46.2
Sinokannemeyeria_sp	41	46.2
Parakannemeyeria_sp	36	46.2
Xiyukannemeyeria_brevirostris	41	46.2
Rabidosaurus_cristatus	41	46.2
Rhadiodromus_sp	41	46.2
Wadiasaurus_indicus	41	46.2
Shaanbeikannemeyeria_sp	41	46.2
Rechnisaurus_cristarhynchus	41	46.2
Uralokannemeyeria_vjuschkovi	41	46.2
Zambiasaurus_submersus	41	46.2
Placerias_hesternus	7.5	27
Moghreberia_nmachouensis	0	36
Stahleckeria_potens	36	41
Sangusaurus_parringtonii	41	46.2
Eubrachiosaurus_browni	27	36
Jachaleria_sp	36	41
Ischigualastia_jenseni	27	36
Rastodon_procurvidens	58.9	67.8
Sauroscaptor_tharavati	53.2	58.9
Bulbasaurus_phylloxyron	53.2	58.9
Compsodon_helmoedi	51.2	58.9
Pentasaurus_goggai	0.6	20.5
Thliptosaurus_imperforatus	51.3	58
Dicynodon_angielczyki	51.3	58
Daptocephalus_huenei	51.3	58
