Taxon,min,max,min,max
Biarmosuchus_tener,265,268,63.7,66.7
Hipposaurus_boonstrai,259.9,265.1,58.6,63.8
Archaeosyodon_praeventor,265,268,63.7,66.7
Titanophoneus_potens,252.3,268,51,66.7
Gorgonops_torvus,254.17,265.1,52.87,63.8
Lycosuchus_vanderrieti,259.9,265.1,58.6,63.8
Glanosuchus_macrops,259.9,268.8,58.6,67.5
Biseridens_qilianicus,268.8,272.3,67.5,71
Anomocephalus_africanus,259.9,272.3,58.6,71
Tiarajudens_eccentricus,259.9,272.3,58.6,71
Otsheria_netzvetajevi,265,268,63.7,66.7
Ulemica,252.3,268,51,66.7
Suminia_getmanovi,252.3,265,51,63.7
Patranomodon_nyaphulii,259.9,265.1,58.6,63.8
Galeops_whaitsi,259.9,265.1,58.6,63.8
Galepus_jouberti,251.9,289.9,50.6,88.6
Galechirus_scholtzi,259.9,265.1,58.6,63.8
Eodicynodon_oelofseni,259.9,272.3,58.6,71
Eodicynodon_oosthuizeni,259.9,268.8,58.6,67.5
Colobodectes_cluveri,252.17,259.9,50.87,58.6
Lanthanostegus_mohoii,259.9,265.1,58.6,63.8
Eosimops_newtoni,254.17,265.1,52.87,63.8
Diictodon_feliceps,252.17,272.3,50.87,71
Robertia_broomiana,254.17,265.1,52.87,63.8
Prosictodon_dubei,259.9,272.3,58.6,71
Endothiodon_bathystoma,254.17,265.1,52.87,63.8
Endothiodon_tolani,259.9,265.1,58.6,63.8
Niassodon_mfumukasi,254.17,259.9,52.87,58.6
Brachyprosopus_broomi,259.9,268.8,58.6,67.5
Pristerodon_mackayi,254.17,265.1,52.87,63.8
Emydops,252.17,272.3,50.87,71
Digalodon_rubidgei,252.17,259.9,50.87,58.6
Dicynodontoides,247.2,298.9,45.9,97.6
Kombuisia_frerensis,242,247.2,40.7,45.9
Myosaurus_gracilis,247.2,252.17,45.9,50.87
Cistecephalus_microrhinus,254.2,265.1,52.9,63.8
Cistecephaloides_boonstrai,254.2,259.9,52.9,58.6
Kawingasaurus_fossilis,252.2,259.9,50.9,58.6
Daqingshanodon_limbus,252.2,259.9,50.9,58.6
Keyseria_benjamini,252.2,259.9,50.9,58.6
Rhachiocephalus_magnus,254.2,259.9,52.9,58.6
Kitchinganomodon_crassus,252.2,259.9,50.9,58.6
Oudenodon_bainii,252.2,265,50.9,63.7
Tropidostoma_dubium,254.2,265.1,52.9,63.8
Australobarbarus,252.3,265,51,63.7
Syops_vanhoepeni,254.2,259.9,52.9,58.6
Odontocyclops_whaitsi,254.2,259.9,52.9,58.6
Idelesaurus_tataricus ,254,265,52.7,63.7
Aulacephalodon_bainii,252.2,259.9,50.9,58.6
Pelanomodon_moschops,252.2,259.9,50.9,58.6
Geikia_locusticeps,252.2,259.9,50.9,58.6
Geikia_elginensis,252.2,254.2,50.9,52.9
Elph_borealis,252.3,265,51,63.7
Interpresosaurus_blomi,252.3,259,51,57.7
Katumbia_parringtoni,254.2,259.9,52.9,58.6
Delectosaurus_arefjevi,252.3,259,51,57.7
Dicynodon_lacerticeps,252.3,265,51,63.7
Dicynodon_huenei ,252.3,265,51,63.7
Daptocephalus_leoniceps ,252.2,259.9,50.9,58.6
Dinanomodon_gilli ,247.2,259.9,45.9,58.6
Peramodon_amalitzkii,252.3,265,51,63.7
Vivaxosaurus_trautscholdi,252.3,265,51,63.7
Jimusaria_sinkiangensis,252.2,254.2,50.9,52.9
Sintocephalus_alticeps,254.2,259.9,52.9,58.6
Basilodon_woodwardi,252.2,259.9,50.9,58.6
Turfanodon_bogdaensis ,252.2,254.2,50.9,52.9
Gordonia_traquairi ,252.3,265,51,63.7
Euptychognathus_bathyrhynchus,254.2,259.9,52.9,58.6
Lystrosaurus_hedini,242,254.2,40.7,52.9
Lystrosaurus_maccaigi,247.2,252.2,45.9,50.9
Lystrosaurus_curvatus,247.2,252.2,45.9,50.9
Lystrosaurus_declivis,247.2,252.2,45.9,50.9
Lystrosaurus_murrayi,247.2,252.2,45.9,50.9
Shansiodon,242,247.2,40.7,45.9
Tetragonias_njalilus,242,247.2,40.7,45.9
Vinceria_andina,242,247.2,40.7,45.9
Rhinodicynodon_gracile,242,247.2,40.7,45.9
Dinodontosaurus,237,242,35.7,40.7
Angonisaurus_cruickshanki,242,247.2,40.7,45.9
Kannemeyeria_simocephalus,242,247.2,40.7,45.9
Kannemeyeria_lophorhinus,242,247.2,40.7,45.9
Dolichuranus_primaevus,242,247.2,40.7,45.9
Sinokannemeyeria,242,247.2,40.7,45.9
Parakannemeyeria,237,247.2,35.7,45.9
Xiyukannemeyeria_brevirostris,242,247.2,40.7,45.9
Rabidosaurus_cristatus,242,247.2,40.7,45.9
