taxon	max_age	min_age
Biarmosuchus_tener	268	265
Hipposaurus_boonstrai	262	260
Archaeosyodon_praeventor	268	265
Titanophoneus_potens	265	262
Gorgonops_torvus	260	256.8
Lycosuchus_vanderrieti	261	258.5
Glanosuchus_macrops	262	260
Biseridens_qilianicus	268	265
Anomocephalus_africanus	264.38	262
Tiarajudens_eccentricus	272.3   264.38	
Otsheria_netzvetajevi	268	265
Ulemica	265	262
Suminia_getmanovi	260	258.5
Patranomodon_nyaphulii	266.9	264.38
Galeops_whaitsi	262	260
Galepus_jouberti	262	260
Galechirus_scholtzi	262	260
Eodicynodon_oelofseni	266.9	264.38
Eodicynodon_oosthuizeni	266.9	264.38
Colobodectes_cluveri	264.38	262
Lanthanostegus_mohoii	264.38	262
Eosimops_newtoni	263	260
Diictodon_feliceps	262	251.9
Robertia_broomiana	263	260
Prosictodon_dubei	262	260
Endothiodon_bathystoma	260	256.25
Endothiodon_tolani	260	256.8
Niassodon_mfumukasi	256.8	255.24
Brachyprosopus_broomi	264.38	260
Pristerodon_mackayi	263	253
Emydops	261	253
Digalodon_rubidgei	256.8	255
Dicynodontoides	260	251.9
Kombuisia_frerensis	247.2	242
Myosaurus_gracilis	251.9	251.2
Cistecephalus_microrhinus	256.8	255.24
Cistecephaloides_boonstrai	256.8	255.24
Kawingasaurus_fossilis	256.8	255.24
Daqingshanodon_limbus	255.24	251.9
Keyseria_benjamini	256.8	255.24
Rhachiocephalus_magnus	258.5	253
Kitchinganomodon_crassus	256.8	253
Oudenodon_bainii	257	251.9
Tropidostoma_dubium	258.5	256.8
Australobarbarus	258.5	256.8
Syops_vanhoepeni	256.8	251.9
Odontocyclops_whaitsi	256.8	255.24
Idelesaurus_tataricus	258.5	255.24
Aulacephalodon_bainii	256.8	253
Pelanomodon_moschops	255.24	251.9
Geikia_locusticeps	256.8	251.9
Geikia_elginensis	255.24	251.9
Elph_borealis	255.24	251.9
Interpresosaurus_blomi	256.8	251.9
Katumbia_parringtoni	256.8	255.24
Delectosaurus_arefjevi	256.8	251.9
Dicynodon_lacerticeps	255.24	251.9
Daptocephalus_leoniceps	255.24	251.9
Dinanomodon_gilli	255.24	251.9
Peramodon_amalitzkii	255.24	251.9
Vivaxosaurus_trautscholdi	255.24	251.9
Jimusaria_sinkiangensis	255.24	251.9
Sintocephalus_alticeps	256.8	255.24
Basilodon_woodwardi	256.8	253
Turfanodon_bogdaensis	255.24	251.9
Turfanodon_jiufengensis	255.24	251.9
Taoheodon_baizhijuni	255.24	251.9
Counillonia_superoculis	253	251
Repelinosaurus_robustus	253	251
Gordonia_traquairi	255.24	251.9
Euptychognathus_bathyrhynchus	256.8	255.24
Lystrosaurus_hedini	251.36	250.53
Lystrosaurus_maccaigi	253	251.8
Lystrosaurus_curvatus	252	251.8
Lystrosaurus_declivis	251.9	251.2
Lystrosaurus_murrayi	251.9	251.2
Shansiodon	243.53	241.48
Tetragonias_njalilus	247.2	235
Vinceria_andina	247.2	237
Rhinodicynodon_gracile	243.53	241.48
Dinodontosaurus_brevirostris	236.1	231.4
Dinodontosaurus_tener	238	233.23
Angonisaurus_cruickshanki	247.2	235
Kannemeyeria_simocephalus	247.2	242
Kannemeyeria_lophorhinus	247.2	235
Kannemeyeria_aganosteus	247.2	237
Dolichuranus_primaevus	247.2	242
Sinokannemeyeria	243.53	241.48
Parakannemeyeria	243.53	241.48
Xiyukannemeyeria_brevirostris	243.53	241.48
Rabidosaurus_cristatus	243.53	241.48
Rhadiodromus	243.53	241.48
Wadiasaurus_indicus	247.2	242
Shaanbeikannemeyeria_xilougouensis	244	241.48
Rechnisaurus_cristarhynchus	247.2	242
Uralokannemeyeria_vjuschkovi	243.53	241.48
Zambiasaurus_submersus	247.2	235
Placerias_hesternus	224	215
Moghreberia_nmachouensis	232	227
Stahleckeria_potens	238	233.23
Sangusaurus_parringtonii	247.2	235
Eubrachiosaurus_browni	232	215
Jachaleria_colorata	227	225
Jachaleria_candelariensis	227	225
Ischigualastia_jenseni	231.4	228.91
Rastodon_procurvidens	272.3   264.38	
Sauroscaptor_tharavati	256.8	255.24
Bulbasaurus_phylloxyron	258.5	256.8
Compsodon_helmoedi	256.8	255
Pentasaurus_goggai	227	215
Thliptosaurus_imperforatus	253	251.9
Dicynodon_angielczyki	255.24	251.9
Daptocephalus_huenei	255.24	251.9
Acratophorus_argentinensis	247.2	235
Kunpania_scopulusa	262	255.24
Lisowicia_bojani	211	208
