taxon	min	max
Biarmosuchus_tener	38.6	40.4
Hipposaurus_boonstrai	34.4	36.7
Archaeosyodon_praeventor	38.6	40.4
Titanophoneus_potens	36.7	40.4
Gorgonops_torvus	32.5	33.2
Lycosuchus_vanderrieti	34.4	36.7
Glanosuchus_macrops	36.7	40.4
Biseridens_qilianicus	40.4	43.9
Anomocephalus_africanus	36.7	43.9
Tiarajudens_eccentricus	33.2	36.7
Otsheria_netzvetajevi	38.6	40.4
Ulemica_sp.	36.7	40.4
Suminia_getmanovi	32.5	33.2
Patranomodon_nyaphulii	36.7	40.4
Galeops_whaitsi	34.4	36.7
Galepus_jouberti	34.4	35.7
Galechirus_scholtzi	33.2	35.6
Eodicynodon_oelofseni	33.2	40.4
Eodicynodon_oosthuizeni	36.7	43.9
Colobodectes_cluveri	33.2	35.6
Lanthanostegus_mohoii	34.4	36.7
Eosimops_newtoni	34.4	36.7
Diictodon_feliceps	34.4	40.4
Robertia_broomiana	34.4	36.7
Prosictodon_dubei	33.2	40.4
Endothiodon_bathystoma	32.5	33.2
Endothiodon_tolani	31.4	36.7
Niassodon_mfumukasi	26.8	28.6
Brachyprosopus_broomi	34.4	40.4
Pristerodon_mackayi	34.4	36.7
Emydops_sp.	34.4	40.4
Digalodon_rubidgei	29.2	31.4
Dicynodontoides_sp.	29.2	31.4
Kombuisia_frerensis	18.8	21
Myosaurus_gracilis	21.7	23.77
Cistecephalus_microrhinus	30.7	31.4
Cistecephaloides_boonstrai	25.7	31.4
Kawingasaurus_fossilis	26.8	28.6
Daqingshanodon_limbus	23.8	31.4
Keyseria_benjamini	25.6	26.8
Rhachiocephalus_magnus	30.7	31.4
Kitchinganomodon_crassus	26.8	28.6
Oudenodon_bainii	31.4	33.2
Tropidostoma_dubium	32.5	33.2
Australobarbarus_sp.	32.5	33.2
Syops_vanhoepeni	26.8	28.6
Odontocyclops_whaitsi	26.8	28.6
Idelesaurus_tataricus	31.4	32.5
Aulacephalodon_bainii	30.7	31.4
Pelanomodon_moschops	26.8	31.4
Geikia_locusticeps	26.8	28.6
Geikia_elginensis	23.8	25.7
Elph_borealis	29.8	30.7
Interpresosaurus_blomi	29.2	29.8
Katumbia_parringtoni	26.8	28.6
Delectosaurus_arefjevi	29.2	29.8
Dicynodon_lacerticeps	26.8	31.4
#Dicynodon_huenei	34.4	36.7
Daptocephalus_leoniceps	26.8	33.2
Dinanomodon_gilli	30.7	31.4
Peramodon_amalitzkii	29.8	30.7
Vivaxosaurus_trautscholdi	29.8	34.6
Jimusaria_sinkiangensis	23.8	25.7
Sintocephalus_alticeps	26.8	28.6
Basilodon_woodwardi	26.8	28.6
Turfanodon_bogdaensis	23.8	31.4
Gordonia_traquairi	23.8	25.7
Euptychognathus_bathyrhynchus	26.8	28.6
Lystrosaurus_hedini	23.4	23.77
Lystrosaurus_maccaigi	25.6	26.8
Lystrosaurus_curvatus	21.7	23.77
Lystrosaurus_declivis	21.7	23.77
Lystrosaurus_murrayi	25.6	26.8
Shansiodon_sp.	13.1	18.7
Tetragonias_njalilus	17.3	18.7
Vinceria_andina	13.1	18.7
Rhinodicynodon_gracile	13.1	18.7
Dinodontosaurus_Sp.	8.6	13.6
Angonisaurus_cruickshanki	17.3	18.7
Kannemeyeria_simocephalus	21.7	40.4
Kannemeyeria_lophorhinus	18.8	21.61
Dolichuranus_primaevus	18.8	21
Sinokannemeyeria_sp.	13.1	18.7
Parakannemeyeria_sp.	13.1	18.7
Xiyukannemeyeria_brevirostris	13.1	18.7
Rabidosaurus_cristatus	13.1	18.7
Rhadiodromus_sp.	13.1	18.7
Wadiasaurus_indicus	13.1	18.7
Shaanbeikannemeyeria_sp.	13.1	18.7
Rechnisaurus_cristarhynchus	13.1	18.7
Uralokannemeyeria_vjuschkovi	13.1	18.7
Zambiasaurus_submersus	17.3	18.7
Moghreberia_nmachouensis	3.6	7
Stahleckeria_potens	8.6	11.1
Sangusaurus_parringtonii	17.3	18.7
Eubrachiosaurus_browni	0	8.6
Jachaleria_sp.	8.6	13.6
Ischigualastia_jenseni	0.6	3.1
Rastodon_procurvidens	33.2	36.7
Sauroscaptor_tharavati	28.6	31.4
Bulbasaurus_phylloxyron	31.4	32.5
Compsodon_helmoedi	29.2	31.4
Pentasaurus_goggai	0	21.5
Placerias_hesternus	4	21.5
Thliptosaurus_imperforatus	51	57.7
Dicynodon_angielczyki	51	57.7
Daptocephalus_huenei	51	57.7
